cell_type_major	cell_type_minor	cell_type_subset	exp	markers
T cell	T cell CD8+	T cell (Cytotoxic)	pos	"CD3D,CD3E,CD3G,CD8A,CD8B,GZMB,GZMK,IFNG,LAG3,ZFP36,ZNF683"
T cell	T cell CD8+	T cell (Cytotoxic)	neg	"CD14,CD19,CD4"
T cell	T cell CD4+	T cell (Naive)	pos	"CCR7,CD3D,CD3E,CD3G,CD4,IL7R,SELL"
T cell	T cell CD4+	T cell (Naive)	neg	"CD14,CD19,CD69,CD8A,CD8B,IL2RA,KLRG1"
T cell	T cell CD4+	T cell (Tfh)	pos	"B3GAT1,BCL6,BTLA,CD3D,CD3E,CD3G,CD4,CD40LG,CD84,CXCR4,CXCR5,ICOS,IL6R,MAF,MME,PDCD1,SLAMF1,STAT3,TNFRSF4"
T cell	T cell CD4+	T cell (Tfh)	neg	"CD14,CD19,CD8A,CD8B,IL7R,SELL"
T cell	T cell CD4+	T cell (Tfh)	sec	"CXCL13,IFNG,IL10,IL17A,IL17F,IL21,IL4"
T cell	T cell CD4+	T cell (Th1)	pos	"CCR1,CCR5,CD3D,CD3E,CD3G,CD4,CXCR3,IFNGR1,IFNGR2,IL12RB2,IL18R1,IL27RA,STAT1,STAT4,TBX21"
T cell	T cell CD4+	T cell (Th1)	neg	"CD14,CD19,CD8A,CD8B,IL7R,SELL"
T cell	T cell CD4+	T cell (Th1)	sec	"IFNG,IL2,LTA,TNF"
T cell	T cell CD4+	T cell (Th17)	pos	"BATF,CCR4,CCR6,CD3D,CD3E,CD3G,CD4,IL1R1,IL21R,IL23R,IL6R,IRF4,RORA,RORC,STAT3,TGFBR2"
T cell	T cell CD4+	T cell (Th17)	neg	"CD14,CD19,CD8A,CD8B,IL7R,SELL"
T cell	T cell CD4+	T cell (Th17)	sec	"CCL20,IL17A,IL17F,IL21,IL22,IL26"
T cell	T cell CD4+	T cell (Th2)	pos	"CCR3,CCR4,CCR8,CD3D,CD3E,CD3G,CD4,CRLF2,CXCR4,GATA3,IL17RB,IL1RL1,IL4R,IRF4,STAT5A,STAT5B,STAT6"
T cell	T cell CD4+	T cell (Th2)	neg	"CD14,CD19,CD8A,CD8B,IL7R,SELL"
T cell	T cell CD4+	T cell (Th2)	sec	"IL10,IL13,IL21,IL4,IL5,IL9"
T cell	T cell CD4+	T cell (Th22)	pos	"AHR,BATF,CCR10,CCR4,CCR6,CD3D,CD3E,CD3G,CD4,IL6R,STAT3,TGFBR2,TNFRSF1A"
T cell	T cell CD4+	T cell (Th22)	neg	"CD14,CD19,CD8A,CD8B,IL7R,KLRB1,SELL"
T cell	T cell CD4+	T cell (Th22)	sec	"CCL15,CCL7,FGF1,FGF2,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9"
T cell	T cell CD4+	T cell (Th9)	pos	"CD3D,CD3E,CD3G,CD4,IL17RB,IL4R,IRF4,SPI1,TGFBR2"
T cell	T cell CD4+	T cell (Th9)	neg	"CD14,CD19,CD8A,CD8B,IL7R,SELL"
T cell	T cell CD4+	T cell (Th9)	sec	"CCL17,CCL22,IL9"
T cell	T cell CD4+	T cell (Treg)	pos	"CD3D,CD3E,CD3G,CD4,CD5,CTLA4,ENTPD1,FOXP3,IKZF2,IL10,IL2RA,ITGAE,IZUMO1R,LAG3,LAP3,LGALS1,LRRC32,NRP1,NT5E,SELL,STAT5A,STAT5B,TGFB1,TGFB2,TGFB3,TNFRSF18,TNFRSF4"
T cell	T cell CD4+	T cell (Treg)	neg	"CD14,CD19,CD8A,CD8B"
T cell	T cell CD4+	T cell (Treg)	sec	"EBI3,IL10,IL12A,LGALS1,TGFB1,TGFB2,TGFB3"
T cell	ILC	ILC1	pos	"CD69,CXCR3,ICOS,IL12RB2,IL1R1,IL2RA,IL2RB,IL7R,ITGA1,KLRB1,NCR1,PTPRC,TBX21"
T cell	ILC	ILC1	neg	"EOMES,IL17RB,IL1RL1,IL23R,NCAM1,NCR2,PTGDR2"
T cell	ILC	ILC1	sec	"IFNG,IL2,LTA,TNF"
T cell	ILC	ILC2	pos	"ATXN1,CRLF2,GATA3,ICOS,IL17RB,IL1R1,IL1RL1,IL2RA,IL7R,KLRB1,KLRG1,PTGDR2,PTPRC,THY1"
T cell	ILC	ILC2	neg	"CD4,FCER1A,IL12RB2,NCR1,NCR2"
T cell	ILC	ILC2	sec	"AREG,IL13,IL4,IL5,IL9"
T cell	ILC	ILC3	pos	"AHR,ATXN1,CCR6,IL1R1,IL23R,IL2RA,IL7R,NCR1,NCR2,PTPRC,RORC,TBX21,THY1"
T cell	ILC	ILC3	neg	"ATXN1,CD4,CD8A,CD8B,NCAM1,NCR1,NCR2"
T cell	ILC	ILC3	sec	"CSF2,IL17A,IL22,LTA,LTB,TNF"
T cell	ILC	ILCreg	pos	"ATXN1,ID3,IL2RA,IL2RB,IL7R,PTPRC,SOX4,TGFBR1,TGFBR2,THY1"
T cell	ILC	ILCreg	neg	"CD4,IL1RL1,KLRG1,NCR1"
T cell	ILC	ILCreg	sec	"IL10,TGFB1"
T cell	ILC	LTI	pos	"CCR6,CCR7,CD44,CD7,CXCR5,CXCR6,IL1R1,IL23A,IL2RA,IL2RG,IL7R,ITGA4,ITGB7,KLRB1,PTPRC,RORC,THY1"
T cell	ILC	LTI	neg	"CD4,IL12RB2,NCR1,NCR2"
T cell	ILC	LTI	sec	"IL17A,IL22,LTA,LTB,TNF"
T cell	NK cell	NK cell	pos	"EOMES,FCGR3A,IL2RB,KIR3DL1,KIR3DL2,KIR3DL3,KIR3DX1,KLRC1,KLRD1,KLRF1,KLRK1,NCAM1,NCR1,NCR2,NCR3,TBX21"
T cell	NK cell	NK cell	neg	"CD3D,CD3E,CD3G,IL7R"
T cell	NK cell	NK cell	sec	"GZMB,IFNG,PRF1"
Myeloid cell	Dendritic cell	DC (Classical)	pos	"CADM1,CCR7,CD14,CD1A,CD1C,CD207,CD209,CD40,CD80,CD83,CD86,CLEC9A,CX3CR1,EPCAM,FCGR3A,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB4,HLA-DRB5,IL3RA,ITGAM,ITGAX,SIRPA,THBD,XCR1"
Myeloid cell	Dendritic cell	DC (Classical)	neg	CD1A
Myeloid cell	Dendritic cell	DC (Inflammatory)	pos	"CD14,CD1A,CD1C,FCER1A,FCGR1A,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB4,HLA-DRB5,ITGAX,MRC1,SIRPA"
Myeloid cell	Dendritic cell	DC (Inflammatory)	sec	"IL23A,NOS1,TNF"
Myeloid cell	Dendritic cell	DC (Plasmacytoid)	pos	"CLEC4C,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB4,HLA-DRB5,IL3RA,IRF7,IRF8,ITGAX,NRP1,SPIB,TCF4,TLR7,TLR9"
Myeloid cell	Dendritic cell	DC (Plasmacytoid)	neg	CD1A
Myeloid cell	Dendritic cell	DC (Plasmacytoid)	sec	"IFNA1,IFNB1,IL6,TNF"
Myeloid cell	Macrophage	Macrophage (M1)	pos	"ADGRE1,CCR5,CD14,CD163,CD33,CD36,CD68,CD80,CD86,CSF1R,FCGR1A,FCGR1B,FCGR2A,FCGR2B,FCGR3A,FCGR3B,FUT4,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB4,HLA-DRB5,IFNGR1,IFNGR2,IRF5,ITGAL,ITGAM,ITGAX,LAMP2,LGALS3,LILRB4,NOS2,PTGS2,STAT1,TLR2,TLR4,TNFRSF18"
Myeloid cell	Macrophage	Macrophage (M1)	sec	"CCL11,CCL15,CCL19,CCL2,CCL20,CCL3,CCL4,CCL5,CCL8,CX3CL1,CXCL1,CXCL10,CXCL11,CXCL13,CXCL16,CXCL2,CXCL3,CXCL5,CXCL8,CXCL9,IFNG,IL12A,IL12B,IL15,IL17A,IL18,IL1B,IL23A,IL6,TNF"
Myeloid cell	Macrophage	Macrophage (M2)	pos	"ADGRE1,CCR2,CCR5,CD14,CD163,CD200,CD209,CD33,CD68,CD80,CD86,CLEC10A,CLEC7A,CSF1R,CXCR1,CXCR2,FCER1A,FCGR1A,FCGR1B,FCGR2A,FCGR2B,FCGR3A,FCGR3B,FUT4,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB4,HLA-DRB5,IL1R2,IL4R,IRF4,ITGAL,ITGAM,ITGAX,LAMP2,LGALS3,LILRB4,MRC1,MSR1,NOS2,PPARG,PTGS2,SCARB1,SLAMF1,SOCS3,SPHK1,SPHK2,STAT6,TLR1,TLR2,TLR4,TLR8,TNFRSF18"
Myeloid cell	Macrophage	Macrophage (M2)	sec	"CCL1,CCL14,CCL16,CCL17,CCL18,CCL2,CCL20,CCL22,CCL23,CCL24,CCL26,CCL5,CSF2,CSF3,CXCL1,CXCL10,CXCL13,CXCL16,CXCL2,CXCL3,FIZ1,IL10,IL12A,IL12B,IL1B,IL1RN,IL6,TGFB1,TGFB2,TGFB3,TNF,VEGFA,VEGFB,VEGFC,VEGFD"
Myeloid cell	Monocyte	Monocyte	pos	"CCR2,CCR5,CD14,CD163,CSF1R,CX3CR1,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB4,HLA-DRB5,ITGAM,SELL"
B cell	B cell	B cell (Breg)	pos	"CD19,CD1D,CD24,CD38,CD40,CD5,CR2,EBF1,IGHM,PAX5,POU2F2,TCF3"
B cell	B cell	B cell (Breg)	neg	MS4A1
B cell	B cell	B cell (Breg)	sec	"EBI3,IL10,IL12A,TGFB1,TGFB2,TGFB3"
B cell	B cell	B cell (Follicular)	pos	"CD19,CD22,CD24,CD38,CR2,CXCR5,FCER2,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB4,HLA-DRB5,IGHD,IGHM,MS4A1,PAX5,TNFRSF13B"
B cell	B cell	B cell (Follicular)	neg	"CD10,CD27"
B cell	B cell	B cell (MZ)	pos	"CD19,CD1C,CD27,CR2,EBF1,FCER2,FCRL3,IGHD,IGHM,MS4A1,PAX5,POU2F2,TCF3,TNFRSF13B"
B cell	B cell	B cell(Memory)	pos	"CD19,CD27,CD40,CD80,CD86,CR2,FAS,FCER2,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB4,HLA-DRB5,MS4A1,PAX5,POU2AF1,PTPRJ,SPIB,TNFRSF13B"
B cell	B cell	B cell(Memory)	neg	"CD38,CD93"
B cell	Plasma cell	Plasma cell	pos	"CD27,CD38,CXCR4,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB4,HLA-DRB5,IRF4,PRDM1,SDC1,TNFRSF17,XBP1"
B cell	Plasma cell	Plasma cell	neg	"CD10,CD19,IGHD,MS4A1"
Mast cell	Mast cell	Mast cell	pos	"CD33,CD63,ENPP3,FCER1A,FCGR2A,FCGR2B,IL3RA,ITGAX,KIT,MITF,PTPRC"
Mast cell	Mast cell	Mast cell	neg	"ITGA2,ITGAM"
Endothelial cell	Endothelial cell	Endothelial cell	pos	"CD300LG,CD34,CDH5,EGFL7,EMCN,ESAM,FLT1,FLT4,KDR,MCAM,PODXL,S1PR1,SELE,SELP,TEK,THSD1,THSD7A,VCAM1,VEGFC,VWF"
Epithelial cell	Epithelial cell	Epithelial cell	pos	"CADM4,CLDN1,CLDN12,CLDN3,CLDN4,DDR1,EPCAM,KLF5,KRT18,KRT19,MST1R,MUC1"
Fibroblast	Fibroblast	Fibroblast	pos	"ACTA2,COL1A1,COL1A2,COL5A1,FAP,FBLN1,FBLN2,LOXL1,LUM,PDGFRA,THY1"
Fibroblast	Fibroblast	Fibroblast	neg	EPCAM
Smooth muscle cell	Smooth muscle cell	Smooth muscle cell	pos	"ACTA2,CALD1,CNN1,EMILIN2,HEXIM1,HRH2,TAGLN"
